date,Totals
2020-01-21,10944
2020-01-22,34835
2020-01-23,12773
2020-01-24,13114
2020-01-27,11581
2020-01-28,9098
2020-01-29,9676
2020-01-30,15413
2020-01-31,75401
2020-02-03,41058
2020-02-04,10970
2020-02-05,17678
2020-02-06,12570
2020-02-07,15579
2020-02-10,12931
2020-02-11,13070
2020-02-12,41622
2020-02-13,12142
2020-02-14,13750
2020-02-18,54860
